,X,TP,TN,FP,FN,sensitivity,specificity,precision
61,62,55601679.0,56875683.999999955,7.52743410087879e-16,0.0,1.0,1.0,1.0
62,63,55601679.0,56875683.99999983,3.010973640351516e-15,0.0,1.0,1.0,1.0
63,64,55601679.0,56875683.999999315,1.2043894561406063e-14,0.0,1.0,1.0,1.0
64,65,55601679.0,56875683.99999726,4.8175578245624254e-14,0.0,1.0,1.0,1.0
65,66,55601679.0,56875683.99998904,1.9270231298249701e-13,0.0,1.0,1.0,1.0
66,67,55601679.0,56875683.99995616,7.708092519299881e-13,0.0,1.0,1.0,1.0
67,68,55601679.0,56875683.999824636,3.0832370077199522e-12,0.0,1.0,1.0,1.0
68,69,55601679.0,56875683.99929855,1.2332948030879809e-11,0.0,1.0,1.0,1.0
69,70,55601679.0,56875683.99719421,4.9331792123519236e-11,0.0,1.0,1.0,1.0
70,71,55601679.0,56875683.98877684,1.9732716849407694e-10,0.0,1.0,1.0,1.0
71,72,55601679.0,56875683.95510737,7.893086739763078e-10,0.0,1.0,1.0,1.0
72,73,55601679.0,56875683.82042949,3.157234695905231e-09,0.0,1.0,1.0,1.0
73,74,55601679.0,56875683.28171794,1.2628938783620924e-08,0.0,1.0,0.9999999999999998,0.9999999999999998
74,75,55601679.0,56875681.12687177,5.05157551344837e-08,0.0,1.0,0.9999999999999991,0.9999999999999991
75,76,55601679.0,56875672.50748708,2.020630205379348e-07,0.0,1.0,0.9999999999999964,0.9999999999999963
76,77,55601679.0,56875638.02994833,8.082520821517392e-07,0.0,1.0,0.9999999999999859,0.9999999999999856
77,78,55601679.0,56875500.11979333,3.2330083286069566e-06,0.0,1.0,0.9999999999999432,0.9999999999999418
78,79,55601679.0,56874948.479173325,1.2932033314427827e-05,0.0,1.0,0.9999999999997726,0.9999999999997674
79,80,55601679.0,56872741.9166933,5.1728133257711306e-05,0.0,1.0,0.9999999999990904,0.9999999999990696
80,81,55601679.0,56863915.66677319,0.00020691253303084522,0.0,1.0,0.9999999999963614,0.9999999999962788
81,82,55601679.0,56828610.66709276,0.0008276501321233809,0.0,1.0,0.9999999999854361,0.9999999999851147
82,83,55601679.0,56687390.66837107,0.0033106005284935236,0.0,1.0,0.999999999941599,0.9999999999404586
83,84,55601679.0,56122510.67348425,0.013242402113974094,0.0,1.0,0.9999999997640447,0.9999999997618345
84,85,55601679.0,53862990.69393702,0.05296960845589638,0.0,1.0,0.9999999990165863,0.999999999047338
85,86,55601679.0,44824910.775748074,0.2118784338235855,0.0,1.0,0.999999995273199,0.9999999961893519
86,87,55601679.0,8672591.102992296,0.847513735294342,0.0,1.0,0.9999999022767657,0.9999999847574077
87,88,55601679.0,-135936687.58803082,3.390054941177368,0.0,1.0,1.0000000249384848,0.9999999390296337
88,89,55601679.0,-714373802.3521233,13.560219764709473,0.0,1.0,1.000000018981967,0.9999997561185795
